Appliances,lights,T_out,RH_out,Press_mm_hg,Windspeed,Visibility,Tdewpoint,rv1,rv2
160.6,42,21.9,68.82,736.57,10.93,48.49,14.26,3.3332,35.0039
157.7,43,23.88,20.46,745.03,5.37,42.35,14.25,14.7068,46.9425
153.8,48,24.24,90.37,745.04,11.13,23.24,17.38,49.4935,21.4369
109.5,48,17.23,72.17,739.99,0.6,13.39,10.61,7.612,10.8221
153.9,37,22.27,22.87,738.39,4.1,56.11,15.59,26.9956,8.6523
122.8,33,21.31,34.09,735.41,5.04,63.99,18.86,8.9325,28.7205
133.1,49,20.52,42.14,742.36,5.5,63.43,11.37,2.8212,0.331
142.9,53,21.27,55.94,737.73,5.7,13.57,15.84,2.6751,2.4201
107.2,58,18.96,84.54,745.61,4.9,59.26,9.51,0.3453,6.2594
109.3,23,18.64,61.57,745.2,0.44,10.35,14.81,10.2105,8.8287
118.1,59,16.22,43.61,745.23,13.88,43.53,8.82,1.6907,49.5367
106.2,45,20.53,31.41,737.82,13.52,25.03,18.23,13.4187,2.2525
110.7,15,20.41,67.45,730.67,7.7,21.39,18.09,39.5429,46.2948
128.8,17,18.52,60.24,734.61,11.5,24.28,12.43,33.6921,16.5902
107.3,13,18.05,35.68,729.68,3.75,3.16,13.55,28.6641,19.8146
133.2,66,14.03,28.99,735.17,11.73,36.29,10.77,33.9129,16.6935
134.5,16,16.54,29.7,744.56,0.91,6.95,12.79,34.383,16.966
120.5,29,20.16,20.0,735.6,3.22,16.0,16.78,30.7993,18.9409
306.0,17,11.56,93.08,744.99,13.52,64.51,9.42,30.4785,39.7438
282.2,15,15.12,44.13,735.91,3.06,5.14,9.74,35.1017,41.1794
243.7,47,16.54,53.56,733.8,8.57,51.25,11.37,6.1622,15.6303
286.1,47,14.92,70.05,730.76,10.59,13.01,11.04,9.6719,34.8568
296.6,55,13.54,63.53,743.06,0.64,10.16,6.48,40.581,28.7051
323.1,53,13.63,48.14,741.56,11.24,20.77,11.48,41.9008,31.1669
317.2,44,10.1,68.94,741.35,13.52,2.61,7.41,24.0918,17.014
328.1,50,12.09,26.91,745.0,9.87,47.8,9.3,27.0456,11.3166
333.3,47,8.86,79.14,743.87,12.32,55.32,4.81,18.6351,20.579
323.7,39,11.94,29.28,735.0,12.72,62.57,8.17,48.9742,32.3838
277.1,29,14.16,71.16,735.06,8.71,65.68,8.92,45.2625,27.9978
289.6,49,13.81,92.67,745.54,7.14,5.3,9.8,13.066,45.6561
324.9,27,7.33,55.13,742.48,0.66,63.01,2.62,8.5518,46.504
345.3,59,8.92,35.71,734.06,8.58,30.17,3.98,45.8916,2.5541
313.0,38,8.78,60.97,735.39,6.44,61.4,1.32,49.1319,5.5782
331.2,22,10.21,65.13,729.12,1.5,53.06,7.38,13.6941,6.4357
297.0,45,12.83,93.87,732.43,4.87,48.33,3.7,6.5153,8.3975
327.0,25,8.38,80.11,734.93,10.77,54.86,1.47,42.2854,40.4538
384.2,30,6.08,34.65,734.43,10.91,61.88,1.64,3.9782,14.5877
353.4,14,4.17,36.0,730.12,2.95,9.18,-0.65,10.8905,17.9205
343.8,40,9.53,68.71,729.72,6.96,20.32,4.72,37.4753,49.4306
358.6,58,6.68,43.38,740.8,1.53,62.09,-1.95,14.4866,47.5304
367.6,63,6.09,86.55,744.51,3.32,44.02,-3.74,30.5684,23.4311
346.3,7,10.4,65.17,734.05,10.08,58.48,4.68,45.9707,27.305
330.9,19,8.47,85.5,735.16,6.72,49.14,-0.68,15.3225,1.5614
339.5,36,3.41,66.94,732.93,5.85,45.37,-2.54,22.0625,14.2842
380.0,8,3.12,47.2,730.78,10.44,58.01,-3.07,26.3331,6.3414
337.5,9,3.91,40.92,734.86,6.37,53.93,-0.05,39.844,4.4037
372.3,4,4.01,72.35,741.27,4.69,24.69,-3.29,44.6452,2.7248
382.0,55,7.21,78.95,741.26,8.75,50.03,3.2,25.5215,44.6555
216.3,25,5.98,50.88,742.44,9.32,40.85,3.81,20.2629,28.7574
235.1,54,2.49,41.73,734.56,6.69,50.21,-6.51,16.6311,14.4709
177.4,57,9.54,36.39,742.32,12.45,33.82,4.66,21.3093,18.9362
250.4,63,3.29,21.25,737.89,12.75,26.45,0.52,15.1229,6.1027
215.4,36,3.14,23.96,745.24,10.41,19.75,-5.02,27.5364,49.7363
199.1,19,4.85,67.93,745.39,8.49,24.12,-0.64,6.3808,19.408
114.2,1,6.04,52.27,736.29,7.57,56.65,-0.87,41.0083,16.494
171.8,0,6.05,32.55,729.77,0.34,43.28,3.18,25.8357,40.5378
177.4,0,1.36,88.47,733.8,12.11,44.84,-7.93,38.5712,20.6209
127.2,2,9.12,46.36,732.72,7.25,53.64,6.58,26.8081,17.2524
137.7,4,5.71,47.73,734.15,0.06,44.45,2.47,1.8699,12.7655
140.1,0,7.4,75.67,744.53,12.92,33.69,5.26,23.5585,5.6273
144.6,4,6.11,46.39,743.41,2.63,40.29,-1.41,5.0385,42.6626
107.5,0,8.46,43.11,732.84,2.52,41.82,-1.47,5.6796,41.447
144.3,0,5.39,54.11,729.71,8.52,59.72,2.44,21.0959,28.4817
170.2,1,2.54,94.43,744.19,2.39,24.58,-0.35,39.6755,45.4185
132.0,2,6.07,29.46,745.77,5.99,31.99,3.78,31.1207,15.579
121.4,0,10.08,55.52,739.68,10.06,22.95,7.12,33.1022,38.5387
176.9,2,2.88,52.41,732.41,4.22,33.41,-5.6,12.0138,11.9798
136.5,1,5.91,90.23,740.68,4.81,37.83,-3.33,28.2878,35.6353
125.9,4,8.48,94.76,740.26,4.14,47.7,-0.14,35.2878,29.0987
109.8,0,6.25,25.04,742.7,0.21,53.52,-0.23,19.5823,15.1539
170.7,1,2.84,74.42,745.82,5.79,41.34,-4.36,22.0619,8.1573
128.6,2,4.85,43.28,736.51,8.95,13.37,2.32,14.4116,20.9843
119.3,0,8.28,31.48,731.49,6.65,41.95,-0.57,14.494,48.2836
114.7,2,7.83,56.42,743.01,8.11,51.13,2.86,47.422,7.3774
104.6,1,5.65,85.89,734.83,11.62,3.06,-1.05,18.2665,0.8755
115.8,2,8.23,51.49,744.59,12.84,38.34,1.22,6.1914,11.6571
91.7,2,8.48,29.92,742.52,6.5,6.77,5.56,16.2163,40.726
111.2,4,9.67,49.17,739.63,7.37,4.92,2.38,15.9808,19.9219
90.4,0,9.78,75.42,740.9,3.83,59.15,7.35,7.1558,12.6988
96.9,0,8.57,36.31,737.3,4.48,48.63,3.46,44.1655,1.3038
105.0,4,9.88,24.8,743.21,12.85,30.15,7.39,36.912,8.3276
103.6,4,10.69,34.41,733.28,1.46,35.8,2.87,42.3121,28.5813
122.6,3,9.98,75.07,739.24,5.07,12.64,6.82,45.9454,10.642
101.4,2,8.69,58.81,734.54,4.53,27.75,0.27,6.905,14.1209
113.0,0,9.77,71.99,745.57,6.15,37.79,4.83,17.0596,41.3812
90.0,2,11.77,60.13,740.98,13.36,1.83,4.02,49.2181,11.9428
56.1,0,15.47,30.43,735.26,9.83,45.85,5.59,1.5779,4.0442
120.5,0,9.83,72.91,739.71,0.48,57.3,4.87,41.2096,30.7131
73.0,0,13.06,89.55,740.06,9.59,65.0,4.7,24.9519,16.975
104.0,0,12.76,30.12,744.09,2.37,30.94,6.09,35.2875,41.169
202.8,1,17.63,88.52,738.46,3.39,48.58,13.27,10.1098,3.3839
200.0,3,16.99,74.43,741.67,1.36,36.99,9.14,34.493,30.2023
223.0,3,15.11,63.84,742.0,0.97,43.18,6.27,27.906,2.7648
211.1,0,17.58,41.86,741.37,3.53,2.6,11.49,37.2363,0.27
220.0,1,14.06,92.9,738.49,6.79,63.3,8.9,0.4712,17.1913
229.8,4,15.62,33.24,738.01,12.69,12.36,13.06,38.2023,32.7385
215.4,66,21.39,93.79,740.29,6.2,54.86,12.42,24.5173,43.2901
211.5,46,18.56,57.99,733.98,13.53,56.01,13.8,20.777,42.6318
201.9,16,18.08,41.9,735.55,2.2,20.18,15.6,41.8229,16.4315
190.9,49,16.79,69.61,736.58,5.99,52.96,14.64,29.9076,18.8927
189.9,46,19.89,49.04,734.88,0.88,10.54,15.93,18.2969,42.6914
223.1,0,17.64,23.84,739.92,10.35,56.55,10.86,9.2797,4.9924
206.6,45,19.14,24.63,742.24,0.27,14.59,13.02,4.1503,19.5985
213.4,48,21.53,72.13,741.98,2.4,55.52,12.68,49.383,8.771
205.8,51,19.76,69.85,743.83,6.24,31.75,12.9,8.7198,41.3832
234.5,60,22.48,87.61,731.25,4.35,5.64,17.8,35.8641,6.956
234.1,5,19.96,91.98,743.89,5.35,53.08,14.02,46.5042,13.502
211.0,58,18.83,82.42,744.39,11.42,28.79,14.75,8.8892,30.3044
270.9,15,23.49,34.89,737.48,10.1,30.45,19.55,37.4352,34.0273
214.8,21,21.6,37.9,744.86,7.23,51.65,15.01,35.1047,38.5783
221.8,40,19.62,72.12,741.98,3.74,14.11,10.29,35.1188,22.0923
233.7,44,23.9,91.49,730.63,13.4,34.35,16.01,13.2404,11.5609
239.6,28,22.85,67.47,733.51,10.26,60.65,15.66,0.2987,6.5018
241.8,35,22.03,63.08,737.25,4.75,30.93,19.94,8.4798,32.0375
123.4,51,23.06,86.17,733.75,6.5,51.45,19.03,4.2203,9.3802
125.5,43,23.44,87.84,745.72,13.74,59.33,19.77,4.3696,42.291
135.4,41,24.15,35.04,737.22,12.71,48.51,21.59,3.4375,14.5385
136.1,25,24.71,25.45,734.85,11.33,2.69,22.33,47.9792,6.3614
132.4,37,22.32,75.79,731.7,0.14,22.85,16.92,19.7294,37.6039
172.4,39,28.12,22.8,732.45,13.69,62.88,18.65,20.8382,5.4645
135.9,58,24.45,56.34,730.75,7.47,31.91,21.19,25.0046,7.9907
139.0,61,25.7,56.62,736.25,9.44,57.26,18.53,24.9246,34.1329
132.3,62,24.59,36.9,735.9,8.82,54.81,14.9,41.8598,10.3898
99.7,28,22.46,54.87,741.32,0.53,43.59,18.84,47.9833,32.274
154.9,67,26.68,93.68,742.7,5.83,30.68,16.94,35.0379,40.8116
108.2,56,20.62,39.97,743.05,9.21,35.75,12.12,46.7196,44.7365
182.1,38,29.2,87.75,742.01,4.6,31.21,21.98,21.3705,37.8728
147.3,26,24.59,77.6,740.08,9.73,17.46,19.3,32.0611,6.0384
159.3,63,26.55,23.47,737.97,4.45,51.32,16.79,31.951,28.7896
116.9,59,24.24,88.81,745.46,1.6,11.82,16.63,23.5205,37.4188
157.9,27,26.46,77.39,742.63,6.58,58.47,23.97,16.041,36.653
122.5,22,21.96,76.55,742.81,11.6,50.47,18.23,11.1262,15.2016
144.7,49,26.03,51.62,741.19,8.69,32.47,19.48,19.8017,23.2476
123.9,52,24.12,61.37,731.05,5.72,27.41,19.44,40.0077,4.609
95.5,5,25.37,69.97,744.96,11.53,17.84,20.32,36.9707,13.4876
148.5,13,27.08,72.08,736.56,2.1,6.59,21.57,46.5841,38.8588
167.7,28,26.29,66.96,736.02,4.73,17.32,18.93,34.7337,20.4046
141.2,57,25.51,25.92,738.75,6.12,13.7,20.28,0.1991,14.4485
129.7,63,22.05,36.61,734.23,3.99,21.88,12.57,35.3993,33.119
135.7,3,24.67,34.31,741.37,13.32,29.77,15.4,13.6332,9.2425
101.5,62,23.51,93.6,742.38,3.02,35.21,17.9,30.5922,41.7942
95.4,34,22.12,80.09,737.62,4.88,16.49,12.44,0.0832,20.8081
151.4,6,25.37,83.67,736.31,0.98,61.38,17.82,10.4238,28.4185
134.2,61,24.36,26.39,731.67,4.57,23.14,21.71,7.8741,36.9204
128.5,11,22.93,84.96,729.77,7.78,9.74,17.82,16.1316,46.1539
98.9,47,21.68,65.82,732.31,5.46,22.02,18.48,19.5355,36.845
103.7,43,22.05,51.53,735.06,0.5,45.38,13.81,45.586,8.2392
84.9,52,20.29,22.69,744.78,3.4,33.25,13.95,16.3734,39.7101
88.7,21,19.04,46.91,743.28,8.09,47.82,12.68,29.1716,36.3512
131.7,25,22.65,59.34,742.36,10.59,7.93,17.27,13.6959,0.7181
109.9,40,20.2,79.39,743.37,8.5,51.71,13.45,2.7809,13.2382
115.4,41,22.86,28.81,738.42,7.2,24.06,15.95,21.1969,25.4055
77.9,0,19.76,38.65,737.59,0.74,5.55,10.2,28.0493,36.5286
89.0,3,19.76,91.34,739.22,3.78,56.96,17.49,37.0758,47.4626
80.0,32,17.98,56.63,743.51,1.12,36.79,12.34,18.9433,10.3376
91.7,39,19.76,28.74,745.54,3.49,53.24,14.91,3.593,6.7927
100.3,49,17.41,35.34,729.96,13.26,22.61,13.82,10.4378,25.5048
80.9,66,17.61,83.58,739.56,11.53,53.82,11.78,14.2344,18.1921
100.2,13,17.14,45.85,732.73,8.25,17.77,14.06,15.6949,3.1743
86.0,6,18.49,38.56,744.25,5.71,25.77,12.26,11.0227,47.4277
141.5,41,23.41,93.87,745.01,2.84,56.22,15.77,41.2991,9.3176
75.7,64,16.24,40.99,741.02,2.91,38.86,7.03,4.6107,8.5895
203.0,66,17.86,60.97,732.75,4.7,1.28,9.79,10.8511,32.689
305.3,35,10.57,43.89,734.56,1.33,38.86,2.07,1.0344,29.4293
268.4,59,13.62,83.92,731.09,6.06,63.1,11.35,42.4332,46.5383
239.9,60,14.43,55.89,741.11,2.75,58.01,10.05,7.8761,8.9291
232.9,57,18.05,43.44,742.42,2.69,51.89,10.0,9.3716,41.3071
227.3,35,16.0,86.82,735.38,7.54,28.87,6.69,33.52,13.5425
263.0,40,10.68,40.55,741.65,4.63,33.82,2.4,8.1425,27.6729
262.1,8,13.5,30.42,734.0,4.57,44.66,4.3,33.367,3.1772
257.5,16,13.13,75.91,733.91,0.41,44.19,6.9,36.7451,41.6629
318.5,36,10.54,46.31,731.93,5.3,62.57,2.87,39.2196,41.9164
274.3,67,12.97,44.54,732.65,7.23,58.02,6.01,19.573,5.2644
300.1,55,8.18,26.21,734.71,10.13,16.28,1.89,33.6101,39.8022
276.3,5,11.63,60.04,743.24,0.8,19.96,9.06,40.1979,26.8529
255.4,59,12.58,38.51,741.83,8.0,49.5,9.92,35.4392,16.1032
271.7,33,12.55,47.66,731.32,4.53,16.83,9.1,42.8786,4.791
292.4,29,10.84,75.26,744.74,11.3,25.51,7.28,7.291,31.0789
282.7,58,10.42,66.8,739.5,6.39,63.82,7.71,45.2847,25.2497
281.6,28,10.51,40.09,743.55,6.4,60.39,7.56,25.633,24.6391
333.4,2,6.45,46.17,734.01,0.35,45.36,-2.37,28.7591,10.9843
279.3,20,8.05,47.07,733.63,6.59,48.28,5.77,0.3976,34.5016
301.1,43,8.23,81.09,742.48,5.73,42.96,2.86,48.3877,14.2134
290.8,26,9.86,71.5,740.3,11.66,17.62,3.16,36.6081,4.3466
304.4,29,6.79,35.4,735.35,10.98,22.8,-2.89,49.7464,9.5722
347.1,45,5.57,48.93,737.3,8.0,50.81,-1.44,30.163,42.2797
304.6,20,7.21,82.61,730.6,11.37,42.96,-0.18,13.6861,39.9548
293.6,52,5.98,36.19,745.94,10.27,5.15,-2.21,29.5071,0.7525
317.1,46,6.04,58.92,733.54,5.96,52.67,-0.54,1.4782,12.2387
321.9,66,9.59,29.2,734.44,0.53,44.42,6.28,10.713,22.9644
304.4,13,7.18,60.52,739.95,9.62,47.4,-2.8,42.2189,37.5838
328.6,4,5.49,79.5,737.82,1.33,44.81,-2.94,45.644,32.8898
184.1,7,6.88,64.32,730.86,5.92,4.84,4.2,13.9619,32.3798
162.2,40,7.15,80.42,734.21,4.07,1.1,-2.64,5.2014,49.0342
188.0,11,4.33,75.38,735.55,6.3,1.32,-4.41,42.6549,5.9661
184.5,8,3.91,21.42,736.86,8.37,59.85,-0.86,10.2613,10.2275
213.3,14,4.3,64.71,734.45,0.94,50.19,1.97,1.592,26.9675
141.6,10,6.32,93.23,732.31,10.76,58.36,0.17,12.6618,25.9386
171.7,3,4.0,53.52,738.55,7.73,57.72,-5.1,42.6966,6.8597
114.2,2,6.4,85.46,729.95,1.95,9.32,1.92,10.9641,11.174
187.8,4,-1.26,49.11,739.87,8.59,3.68,-10.41,22.0995,7.8246
152.7,2,1.99,70.92,737.11,10.51,7.86,-0.83,25.5738,42.2534
103.6,2,7.97,49.61,734.81,11.06,55.4,4.04,46.4469,23.4376
106.9,1,7.33,85.39,737.22,4.6,12.25,2.87,20.5952,11.61
134.9,3,5.56,36.85,729.47,2.21,31.01,-3.42,42.2281,44.1317
144.7,4,4.7,79.46,738.99,3.23,5.74,0.46,22.4483,30.8646
108.5,2,6.75,69.23,739.66,1.35,6.05,4.58,24.0697,9.5865
137.7,3,5.93,59.46,732.7,13.2,2.12,-2.39,28.9215,49.4657
152.0,0,6.49,25.53,732.02,3.86,38.33,0.35,13.5997,24.2906
150.7,0,2.56,42.7,739.71,4.62,29.41,-4.46,1.7512,45.6792
144.8,0,6.26,26.18,735.86,5.3,62.45,0.69,28.9152,41.4233
127.2,4,6.73,64.28,734.5,7.72,20.92,2.85,11.7507,32.6781
113.2,1,6.82,31.08,744.24,4.27,35.91,3.39,47.2796,5.6264
136.9,0,3.83,43.7,733.61,12.42,17.84,1.22,19.1005,4.7807
127.4,3,6.46,29.57,737.43,6.75,59.31,-3.32,4.3928,7.7232
94.8,2,7.65,36.39,731.66,11.5,49.48,-0.68,46.2026,31.2982
139.7,0,5.63,39.33,744.51,2.31,47.29,-4.27,41.536,21.3566
117.2,0,10.0,36.06,738.09,6.11,43.59,5.88,28.3423,45.5913
108.2,2,9.39,70.04,732.15,6.67,36.66,0.62,32.5808,29.256
97.0,4,9.79,78.79,738.68,9.69,50.39,1.47,37.7219,21.1593
121.6,0,7.0,85.7,732.99,12.97,18.22,0.02,7.8358,49.3128
132.8,0,5.7,40.06,744.36,4.18,41.66,-3.78,22.6056,18.7538
109.5,1,8.59,48.81,739.82,11.0,4.09,0.91,47.0192,27.9378
103.3,0,10.27,64.21,732.36,2.91,28.7,2.08,43.0823,19.8045
121.3,1,5.99,58.77,745.78,2.99,43.41,3.89,36.3907,41.3263
96.2,0,7.44,50.57,744.73,4.04,37.79,-0.62,1.7853,10.7079
115.6,3,7.84,56.98,729.94,11.89,32.46,-0.04,16.7963,7.9849
95.9,1,11.14,47.48,741.71,0.47,60.09,8.27,9.6043,47.2234
65.3,1,12.81,22.58,733.51,1.44,61.73,4.27,3.3209,11.4216
97.4,3,9.15,73.37,736.38,6.98,56.04,6.57,5.0873,36.6602
125.9,3,9.43,32.37,739.72,10.03,27.39,4.01,28.6459,42.3592
76.8,3,11.46,22.81,737.17,1.36,30.58,7.52,6.6683,31.2051
83.2,3,12.71,59.95,737.07,4.77,47.33,8.43,4.6592,40.5467
75.8,0,12.25,79.63,737.42,12.33,21.43,7.76,9.7891,8.0235
217.2,2,16.46,53.03,733.46,12.77,28.33,11.81,10.8117,6.499
198.2,0,18.6,32.43,741.21,6.67,14.53,15.25,22.3034,40.0598
207.7,3,18.7,44.41,738.45,11.43,42.9,12.58,16.9423,26.3573
205.0,4,17.17,42.27,731.38,9.15,38.04,9.35,14.5505,31.6186
236.0,4,12.56,94.37,731.03,11.17,10.87,5.15,22.3086,19.3342
218.4,4,15.45,47.36,742.3,5.27,30.91,7.53,27.2922,19.7271
189.5,22,20.6,85.89,729.94,6.62,57.45,18.13,44.5933,14.4543
221.4,11,20.37,28.73,740.53,0.71,46.38,14.92,48.8716,20.6001
196.7,7,18.19,69.38,743.7,7.93,28.02,14.74,8.9615,21.8415
222.9,19,16.21,71.79,737.75,13.49,63.59,13.17,4.2085,9.3982
205.6,55,16.11,58.37,744.34,2.3,45.81,11.64,31.9271,11.6159
220.3,60,15.96,94.43,736.61,0.22,28.61,9.74,37.0994,30.4041
290.2,35,23.95,22.72,745.36,10.4,53.13,14.06,22.4853,4.5699
240.6,68,25.39,93.98,744.17,7.24,27.49,21.0,13.4382,43.9558
229.7,26,23.06,83.77,742.13,13.79,15.42,19.56,0.9488,25.9465
232.1,29,21.27,76.91,741.09,6.93,53.79,13.17,12.038,18.075
220.2,64,21.52,64.53,740.53,1.75,55.97,13.49,24.9194,19.6745
233.5,47,21.59,63.03,730.18,0.94,62.07,18.11,12.8076,35.6953
234.2,34,21.43,45.54,733.03,6.18,54.63,13.43,21.7065,19.3008
240.5,15,21.88,58.57,742.05,2.78,4.21,19.82,9.6768,49.3809
218.6,58,22.63,55.66,734.48,1.9,24.12,14.2,28.0648,25.0711
268.9,3,23.8,66.63,743.9,9.24,19.78,17.63,5.5554,25.2627
173.8,6,20.36,41.07,739.0,9.34,63.62,16.08,18.5393,30.7623
222.3,48,19.89,57.4,729.71,8.6,34.43,17.53,10.9888,26.3798
116.1,67,24.68,72.2,730.19,0.32,27.32,17.87,3.5729,18.2624
104.0,28,22.35,92.08,733.33,0.2,31.19,14.35,23.3402,30.7348
127.0,2,24.84,44.18,732.0,1.16,13.74,17.45,3.6151,10.2576
78.0,69,20.7,83.33,731.37,12.26,12.51,15.7,42.3665,20.4756
146.4,69,25.28,26.46,731.16,4.85,33.68,22.97,17.4131,31.4219
159.0,14,24.69,29.45,730.41,0.97,39.94,22.08,14.7288,19.5387
134.5,54,26.44,30.17,729.05,13.94,13.12,22.77,7.835,21.2759
117.2,36,23.01,57.41,740.59,1.64,7.12,17.92,29.8605,1.1051
149.0,12,25.93,68.16,730.43,10.5,7.41,16.7,23.18,27.5877
128.3,39,24.73,28.32,730.9,8.7,34.55,20.12,0.3458,23.234
169.0,43,28.65,37.12,743.44,5.48,13.38,19.23,43.0169,0.9779
122.8,24,26.77,51.58,743.31,4.18,58.85,20.53,6.6431,39.1702
127.9,61,25.87,69.21,732.41,12.05,35.14,20.14,28.3986,18.7885
112.2,38,23.78,25.96,737.98,5.12,44.68,20.92,17.5512,29.6613
149.7,47,23.78,27.61,743.01,7.05,60.65,18.65,42.1275,34.431
117.7,15,25.78,34.48,745.09,7.14,18.89,16.84,42.7912,32.2009
89.2,58,23.99,70.57,736.19,12.97,14.87,21.0,21.7031,43.7424
127.0,5,26.11,72.28,735.9,9.72,7.57,19.21,41.5801,30.602
152.6,27,28.66,48.9,741.1,10.98,1.95,18.85,5.8336,45.7157
134.7,45,25.94,23.47,733.43,2.68,34.58,23.44,38.3926,36.1086
144.8,8,26.03,66.52,744.67,5.4,57.62,21.82,23.7948,11.1494
105.5,19,22.66,72.99,744.49,12.51,15.34,14.45,32.4575,23.5193
143.9,37,24.41,76.87,736.66,4.21,48.26,21.55,2.6346,33.4813
143.2,11,23.24,75.43,730.98,7.16,41.01,16.85,11.4373,44.391
140.9,21,23.16,81.57,730.66,7.11,60.74,18.38,35.8309,33.2668
115.1,55,23.39,76.09,738.2,2.23,2.33,14.01,23.4583,47.7903
148.4,13,24.05,62.07,735.27,4.08,45.39,15.81,0.4647,32.2305
131.1,39,23.4,41.31,729.83,2.55,38.49,14.51,14.3948,7.9798
137.5,37,23.35,71.58,730.85,2.79,6.99,14.58,26.1327,4.616
138.8,7,25.22,41.05,735.52,4.62,65.42,16.44,17.7459,5.8699
118.6,31,21.06,29.64,739.44,6.89,49.65,11.77,36.3502,26.686
120.1,26,23.61,93.98,743.2,11.09,2.12,19.09,20.7455,6.501
96.6,18,20.95,38.31,734.84,13.46,8.04,18.5,48.907,12.0173
89.3,17,22.35,43.53,733.25,4.54,58.77,18.06,1.4816,22.2802
111.8,0,20.66,49.95,744.43,6.68,30.9,16.47,45.7721,23.7282
91.3,20,18.61,41.31,745.43,2.17,19.69,10.35,14.3419,37.518
122.1,47,17.19,31.82,740.03,11.26,11.89,12.95,23.972,25.0141
85.2,16,22.66,31.42,734.89,12.6,9.73,18.76,0.6995,17.7628
94.6,18,20.56,73.14,737.89,11.33,49.25,13.23,32.7384,8.1692
81.7,41,19.94,45.8,745.69,1.79,6.83,17.03,22.7632,49.4393
69.4,65,20.72,89.03,729.76,11.42,61.52,18.3,35.0495,43.4967
114.1,36,15.78,52.53,734.5,1.9,53.61,8.51,23.6981,9.2135
60.1,14,18.4,77.98,741.27,0.96,29.5,9.89,12.172,8.0863
76.2,68,18.15,55.67,739.99,8.52,48.23,10.15,29.3692,19.3989
73.8,32,16.91,88.57,732.86,13.95,43.66,8.04,10.8278,28.0458
96.8,5,18.42,92.66,744.74,13.95,28.37,13.31,49.6302,24.5056
117.4,34,18.04,36.58,733.94,4.96,65.4,10.84,49.2222,20.266
110.1,65,20.36,82.03,744.9,10.56,8.91,13.54,7.7567,14.7015
276.8,4,13.4,29.05,732.33,6.08,57.4,11.36,0.4579,16.5639
276.8,36,13.02,43.49,737.89,2.41,17.2,6.78,3.5256,39.6265
262.6,59,20.98,51.88,730.89,0.07,62.58,11.1,14.3833,6.2689
230.5,4,19.41,84.57,740.01,4.54,5.74,15.75,26.6524,0.2643
261.2,6,13.04,64.82,735.94,8.67,9.71,5.57,41.1247,35.7091
223.4,57,18.05,85.41,740.36,0.5,39.01,9.43,12.9337,27.4491
281.7,22,11.58,71.5,744.48,11.13,18.6,7.4,10.3692,25.8439
281.3,52,11.24,61.51,729.6,2.15,41.75,4.57,25.8251,9.3007
256.4,60,12.39,74.11,743.41,10.76,58.86,7.7,24.8863,26.2414
294.6,3,13.69,32.59,737.07,12.99,4.43,4.54,41.3929,28.0773
259.8,37,12.52,57.26,731.25,7.06,16.69,3.51,6.1351,1.8255
252.7,11,13.41,86.93,735.21,0.43,40.66,9.27,16.4066,23.6409
263.7,9,11.24,63.97,737.94,12.73,36.62,6.78,10.0129,9.6658
275.3,34,10.39,36.3,736.34,0.16,35.37,4.48,20.7663,16.1335
276.6,39,10.39,88.22,738.89,7.03,44.32,6.07,36.5972,9.8401
284.2,33,11.55,91.92,736.0,10.97,1.9,3.67,14.3014,23.6826
258.8,66,12.51,77.34,745.95,1.88,60.36,7.04,33.4556,11.9158
281.9,25,9.93,75.9,730.05,10.75,14.23,6.0,11.3835,32.6242
289.1,55,7.2,94.43,729.29,7.7,16.56,-1.25,49.4356,32.0292
338.5,26,7.08,48.84,745.42,13.99,49.74,4.45,3.7822,16.9991
320.3,39,8.43,28.69,732.83,0.09,59.09,4.34,26.1112,21.9613
306.0,2,10.01,74.96,729.58,1.44,56.92,6.03,36.0661,26.4594
295.6,33,9.5,59.89,731.49,13.53,59.06,2.96,39.9881,28.4479
305.3,22,6.63,51.02,739.08,7.98,7.33,3.21,5.4026,25.1747
303.2,49,6.48,35.31,743.04,10.89,46.99,-0.73,37.4586,5.2631
343.5,25,5.16,42.11,745.46,12.97,61.75,0.8,3.0132,5.2575
306.7,15,6.85,55.96,733.5,1.27,55.75,-0.45,23.1561,36.2765
325.8,44,8.37,81.15,744.93,5.37,30.84,4.85,30.2905,0.3497
314.3,22,5.26,74.16,734.24,12.43,55.35,-0.32,35.1442,32.9569
354.9,51,4.58,40.86,739.99,4.0,40.35,-3.03,21.5154,9.6607
210.6,50,2.18,27.35,732.03,13.2,42.3,-0.05,3.6895,37.5276
194.7,16,3.15,79.41,729.27,0.33,64.62,0.74,12.3448,18.4257
163.5,67,5.19,79.71,731.83,12.33,29.56,-0.18,0.3242,39.0368
168.5,50,7.07,31.96,743.93,4.0,19.61,1.15,42.2215,16.8678
210.5,44,3.65,34.61,744.1,5.96,3.37,-2.86,8.098,49.2835
192.4,47,4.84,76.93,742.56,2.28,64.78,-3.2,5.8927,31.4508
82.8,3,10.64,24.8,729.12,2.73,15.51,4.38,10.6443,11.5662
117.2,2,5.64,82.17,731.19,1.99,53.02,-0.71,5.6485,32.3164
177.4,2,3.66,35.2,730.45,1.53,42.17,0.83,44.6473,27.7482
99.5,1,8.45,81.37,732.82,13.53,54.67,-1.54,28.2338,42.4084
131.0,2,3.89,36.6,739.81,7.65,65.05,-2.52,24.8068,2.2677
130.9,2,7.2,21.9,731.7,9.13,51.19,3.61,31.8448,18.7245
129.6,2,5.8,57.28,734.12,3.83,35.65,-0.61,41.6441,8.9013
