holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
None,262.29,0.0,0.0,21,Rain,sky is clear,2012-10-03 16:00:00,5747
None,265.46,0.0,0.0,40,Fog,mist,2012-10-03 17:00:00,5474
None,250.56,0.0,0.0,26,Rain,light rain,2012-10-03 18:00:00,6082
None,300.43,0.0,0.0,45,Drizzle,light rain,2012-10-03 19:00:00,1710
None,287.74,0.0,0.0,34,Clouds,overcast clouds,2012-10-03 20:00:00,2699
None,287.93,0.0,0.0,89,Mist,broken clouds,2012-10-03 21:00:00,1899
None,281.48,0.0,0.0,85,Clouds,sky is clear,2012-10-03 22:00:00,2175
None,287.91,0.0,0.0,82,Fog,sky is clear,2012-10-03 23:00:00,1389
New Years Day,304.0,0.0,0.0,98,Drizzle,broken clouds,2012-10-04 00:00:00,766
None,271.18,0.0,0.0,9,Clouds,few clouds,2012-10-04 01:00:00,642
None,289.19,0.0,0.0,52,Clear,sky is clear,2012-10-04 02:00:00,646
None,269.77,0.0,0.0,1,Rain,broken clouds,2012-10-04 03:00:00,323
None,296.99,0.0,0.0,90,Thunderstorm,light snow,2012-10-04 04:00:00,584
None,297.19,0.0,0.0,4,Snow,mist,2012-10-04 05:00:00,210
None,299.62,0.0,0.0,8,Clear,scattered clouds,2012-10-04 06:00:00,2708
None,250.3,0.0,0.0,75,Clouds,sky is clear,2012-10-04 07:00:00,5146
None,266.4,0.0,0.2064,27,Clouds,mist,2012-10-04 08:00:00,6568
None,257.37,0.0,0.0,40,Clear,sky is clear,2012-10-04 09:00:00,6714
None,274.97,0.0,0.0,78,Rain,scattered clouds,2012-10-04 10:00:00,3297
None,277.25,0.2715,0.0,89,Rain,sky is clear,2012-10-04 11:00:00,2387
None,264.07,0.0,0.0,6,Clouds,mist,2012-10-04 12:00:00,2600
None,289.79,0.0,0.0,68,Mist,broken clouds,2012-10-04 13:00:00,2315
None,264.84,0.0,0.0868,73,Clouds,overcast clouds,2012-10-04 14:00:00,2013
None,296.96,0.0,0.0,97,Clear,few clouds,2012-10-04 15:00:00,2241
None,259.77,0.2558,0.0,93,Clouds,mist,2012-10-04 16:00:00,7041
None,270.2,0.0,0.0,52,Clouds,mist,2012-10-04 17:00:00,6363
Christmas Day,284.22,0.0,0.0,74,Rain,scattered clouds,2012-10-04 18:00:00,7139
None,283.29,0.0,0.0,73,Clouds,sky is clear,2012-10-04 19:00:00,2590
None,254.29,0.0,0.0,25,Clear,scattered clouds,2012-10-04 20:00:00,2155
None,296.54,0.0,0.0,70,Fog,light snow,2012-10-04 21:00:00,2678
None,282.89,0.0,0.0,12,Snow,overcast clouds,2012-10-04 22:00:00,2651
None,297.84,0.0,0.0,32,Clouds,few clouds,2012-10-04 23:00:00,1708
None,297.72,0.0,0.0,66,Fog,few clouds,2012-10-05 00:00:00,114
None,280.03,0.0,0.0,83,Mist,scattered clouds,2012-10-05 01:00:00,285
None,300.09,0.0772,0.0,6,Drizzle,few clouds,2012-10-05 02:00:00,160
None,296.66,0.0,0.0,20,Clear,light snow,2012-10-05 03:00:00,641
None,302.7,0.0,0.0,80,Thunderstorm,light snow,2012-10-05 04:00:00,467
None,296.78,0.1685,0.0,6,Clouds,sky is clear,2012-10-05 05:00:00,81
None,295.17,0.0,0.0,54,Rain,light snow,2012-10-05 06:00:00,2221
None,275.81,0.0,0.0,35,Snow,light snow,2012-10-05 07:00:00,7113
None,261.66,0.0,0.0,30,Fog,heavy intensity rain,2012-10-05 08:00:00,5629
None,300.09,0.0,0.0,1,Rain,light rain,2012-10-05 09:00:00,6000
None,289.74,0.0,0.0,39,Rain,light snow,2012-10-05 10:00:00,2702
None,265.5,0.0,0.1087,34,Clouds,light snow,2012-10-05 11:00:00,2401
None,268.75,1.1428,0.0,94,Clouds,overcast clouds,2012-10-05 12:00:00,2729
None,287.73,0.0,0.0,13,Clear,overcast clouds,2012-10-05 13:00:00,3579
None,276.28,0.0,0.0,16,Haze,light snow,2012-10-05 14:00:00,2161
Thanksgiving Day,254.48,0.1148,0.0,39,Snow,overcast clouds,2012-10-05 15:00:00,2201
Christmas Day,257.78,0.0,0.0,38,Clouds,overcast clouds,2012-10-05 16:00:00,6981
None,291.01,0.0,0.0,33,Clear,light rain,2012-10-05 17:00:00,5995
None,268.07,0.0,0.0,70,Mist,light snow,2012-10-05 18:00:00,7317
None,277.92,0.0,0.0,59,Clear,overcast clouds,2012-10-05 19:00:00,2015
None,292.16,0.0,0.0,51,Snow,overcast clouds,2012-10-05 20:00:00,2494
None,291.31,0.0,0.0,69,Clouds,few clouds,2012-10-05 21:00:00,1655
None,259.19,0.0,0.0,65,Haze,broken clouds,2012-10-05 22:00:00,2685
Veterans Day,255.41,0.0,0.0,97,Clouds,broken clouds,2012-10-05 23:00:00,2475
Veterans Day,282.51,0.0,0.0,70,Fog,heavy intensity rain,2012-10-06 00:00:00,239
None,290.79,0.0,0.0,12,Drizzle,light snow,2012-10-06 01:00:00,345
None,258.2,0.7767,0.0,74,Clear,mist,2012-10-06 02:00:00,262
None,270.46,0.0,0.0,46,Clouds,few clouds,2012-10-06 03:00:00,257
None,297.87,0.0,0.0,56,Rain,light rain,2012-10-06 04:00:00,286
None,301.93,0.0,0.0,72,Clear,broken clouds,2012-10-06 05:00:00,387
None,274.97,0.0,0.0,53,Rain,heavy intensity rain,2012-10-06 06:00:00,1678
None,254.37,0.2109,0.0,20,Fog,light rain,2012-10-06 07:00:00,1876
None,264.17,0.0,0.0,2,Fog,sky is clear,2012-10-06 08:00:00,1591
None,262.81,0.0,0.0,80,Fog,broken clouds,2012-10-06 09:00:00,1016
None,263.14,0.0,0.0,81,Clouds,sky is clear,2012-10-06 10:00:00,1563
None,277.16,0.0,0.0,53,Mist,sky is clear,2012-10-06 11:00:00,4735
None,282.08,0.0,0.0,2,Mist,light rain,2012-10-06 12:00:00,2879
None,256.74,0.0,0.0,82,Snow,light rain,2012-10-06 13:00:00,2992
None,298.91,0.0,0.0,72,Mist,broken clouds,2012-10-06 14:00:00,3680
None,284.1,0.0,0.0,61,Mist,few clouds,2012-10-06 15:00:00,4562
None,282.85,0.0,0.0,84,Mist,overcast clouds,2012-10-06 16:00:00,2564
Thanksgiving Day,304.3,0.0,0.0,62,Clear,mist,2012-10-06 17:00:00,1320
None,284.55,0.0,0.0,88,Clouds,heavy intensity rain,2012-10-06 18:00:00,2167
None,301.09,0.0,0.0,12,Clouds,few clouds,2012-10-06 19:00:00,1952
None,265.74,0.0,0.0,42,Fog,broken clouds,2012-10-06 20:00:00,1447
None,263.21,0.0,0.0,97,Fog,broken clouds,2012-10-06 21:00:00,2295
None,278.41,0.0,0.0,80,Clouds,mist,2012-10-06 22:00:00,1886
None,277.97,0.0,0.0,97,Clouds,broken clouds,2012-10-06 23:00:00,1962
None,262.46,0.0,0.0,16,Rain,scattered clouds,2012-10-07 00:00:00,130
None,288.48,0.0,0.1134,61,Clouds,broken clouds,2012-10-07 01:00:00,441
None,251.63,0.0,0.0,31,Clear,heavy intensity rain,2012-10-07 02:00:00,212
None,287.98,0.0,0.0,31,Snow,sky is clear,2012-10-07 03:00:00,468
None,275.14,0.0,0.0,24,Clear,light snow,2012-10-07 04:00:00,338
None,287.9,0.1436,0.0,10,Clouds,light snow,2012-10-07 05:00:00,428
None,276.24,0.0,0.0,84,Fog,mist,2012-10-07 06:00:00,2313
None,303.75,0.0,0.0,93,Mist,mist,2012-10-07 07:00:00,1030
None,268.41,0.0,0.0,82,Clouds,light snow,2012-10-07 08:00:00,1817
None,304.04,0.0819,0.0278,0,Fog,mist,2012-10-07 09:00:00,840
None,253.57,0.0,0.0,89,Haze,light rain,2012-10-07 10:00:00,1851
None,287.61,0.0,0.0,18,Clouds,light rain,2012-10-07 11:00:00,4682
None,274.98,0.0,0.0,89,Clouds,heavy intensity rain,2012-10-07 12:00:00,2700
None,295.22,0.0,0.0,64,Clouds,broken clouds,2012-10-07 13:00:00,4363
None,293.43,0.0,0.0,64,Snow,mist,2012-10-07 14:00:00,3279
None,294.01,0.0,0.0,73,Mist,sky is clear,2012-10-07 15:00:00,3002
None,255.21,0.0,0.0,79,Fog,scattered clouds,2012-10-07 16:00:00,4954
None,295.23,0.0,0.0,25,Mist,light snow,2012-10-07 17:00:00,2397
None,261.77,0.0,0.0,70,Snow,sky is clear,2012-10-07 18:00:00,1604
None,251.41,0.0,0.0,5,Clouds,light rain,2012-10-07 19:00:00,898
None,261.98,0.0,0.0,6,Clear,overcast clouds,2012-10-07 20:00:00,1483
None,276.36,0.0,0.0,68,Drizzle,mist,2012-10-07 21:00:00,1525
None,290.82,0.0,0.0,89,Clouds,sky is clear,2012-10-07 22:00:00,2370
None,262.02,0.0,0.0,74,Clouds,few clouds,2012-10-07 23:00:00,1760
None,256.22,0.133,0.0,62,Clouds,mist,2012-10-08 00:00:00,692
None,285.53,0.0,0.0,17,Clouds,few clouds,2012-10-08 01:00:00,541
None,304.11,0.0,0.0,77,Clouds,mist,2012-10-08 02:00:00,722
None,283.05,0.0,0.0,28,Drizzle,mist,2012-10-08 03:00:00,84
None,288.01,0.0,0.0,67,Clouds,heavy intensity rain,2012-10-08 04:00:00,297
Christmas Day,280.86,0.0,0.0,98,Snow,broken clouds,2012-10-08 05:00:00,582
None,293.03,0.0,0.0,56,Fog,broken clouds,2012-10-08 06:00:00,1966
None,303.67,0.0,0.0,31,Mist,overcast clouds,2012-10-08 07:00:00,4897
None,279.93,0.0,0.0,79,Snow,light rain,2012-10-08 08:00:00,5370
None,272.92,0.0,0.0,58,Clouds,light rain,2012-10-08 09:00:00,4892
None,297.32,0.0,0.0,65,Clouds,broken clouds,2012-10-08 10:00:00,2206
None,303.34,0.0,0.0,61,Thunderstorm,few clouds,2012-10-08 11:00:00,3038
None,257.1,0.0,0.0,60,Clouds,broken clouds,2012-10-08 12:00:00,3577
None,281.8,0.0,0.0,87,Clear,broken clouds,2012-10-08 13:00:00,2891
None,293.59,0.0,0.0,34,Clouds,few clouds,2012-10-08 14:00:00,3484
None,279.33,0.2106,0.0,76,Thunderstorm,broken clouds,2012-10-08 15:00:00,3714
None,272.51,0.0,0.0,36,Clouds,broken clouds,2012-10-08 16:00:00,5863
None,286.04,0.0,0.0,81,Clear,mist,2012-10-08 17:00:00,5563
None,264.86,0.0,0.0,52,Clouds,sky is clear,2012-10-08 18:00:00,6020
None,269.2,0.0,0.0,91,Clouds,heavy intensity rain,2012-10-08 19:00:00,1295
None,304.58,0.0,0.0,76,Clouds,few clouds,2012-10-08 20:00:00,1684
None,285.01,0.0,0.0,30,Rain,few clouds,2012-10-08 21:00:00,2630
None,298.01,0.2486,0.0,32,Clouds,light snow,2012-10-08 22:00:00,1430
None,294.43,0.0,0.0,29,Drizzle,few clouds,2012-10-08 23:00:00,1948
None,285.87,0.0,0.0,24,Clouds,overcast clouds,2012-10-09 00:00:00,734
None,296.24,0.0,0.0,8,Clouds,scattered clouds,2012-10-09 01:00:00,250
None,265.79,0.0,0.0,53,Snow,light snow,2012-10-09 02:00:00,620
None,285.04,0.3932,0.0,16,Rain,sky is clear,2012-10-09 03:00:00,115
None,282.48,0.0,0.0,64,Snow,few clouds,2012-10-09 04:00:00,604
Labor Day,284.23,0.0,0.0,82,Fog,light rain,2012-10-09 05:00:00,239
None,259.27,0.0,0.0,38,Clouds,light snow,2012-10-09 06:00:00,2466
None,265.25,0.0,0.0,40,Rain,heavy intensity rain,2012-10-09 07:00:00,6319
None,265.77,0.0,0.0,59,Rain,few clouds,2012-10-09 08:00:00,7125
None,283.11,0.0,0.0,76,Clouds,mist,2012-10-09 09:00:00,7104
None,303.49,0.0,0.0,15,Clouds,overcast clouds,2012-10-09 10:00:00,3597
None,302.47,0.0,0.0,3,Rain,few clouds,2012-10-09 11:00:00,3012
None,262.5,0.0,0.0,7,Snow,heavy intensity rain,2012-10-09 12:00:00,2645
None,266.77,0.0,0.0,84,Clouds,overcast clouds,2012-10-09 13:00:00,2795
None,251.98,0.0,0.0043,85,Clear,overcast clouds,2012-10-09 14:00:00,3051
None,271.93,0.0,0.0,28,Clouds,sky is clear,2012-10-09 15:00:00,3643
None,295.91,0.0,0.0,81,Clouds,overcast clouds,2012-10-09 16:00:00,6363
None,300.37,0.0,0.0,43,Clear,overcast clouds,2012-10-09 17:00:00,6981
None,263.01,0.0,0.0,42,Clouds,heavy intensity rain,2012-10-09 18:00:00,6354
None,264.62,0.0,0.0,33,Clear,overcast clouds,2012-10-09 19:00:00,2729
None,262.15,0.0316,0.0,20,Clouds,few clouds,2012-10-09 20:00:00,2571
None,269.26,0.0,0.0,3,Clouds,light rain,2012-10-09 21:00:00,2696
None,294.26,0.634,0.0,24,Haze,light rain,2012-10-09 22:00:00,2454
None,285.58,0.0,0.0,60,Thunderstorm,light rain,2012-10-09 23:00:00,1389
None,293.23,0.0,0.0,71,Fog,few clouds,2012-10-10 00:00:00,304
None,282.07,0.0696,0.0,13,Clear,light snow,2012-10-10 01:00:00,464
None,264.18,0.0,0.0,69,Clear,broken clouds,2012-10-10 02:00:00,456
None,262.54,0.0,0.0,52,Snow,light snow,2012-10-10 03:00:00,362
None,250.5,0.199,0.0,41,Clouds,broken clouds,2012-10-10 04:00:00,712
None,292.95,0.0,0.0,58,Snow,light rain,2012-10-10 05:00:00,707
Martin Luther King Jr Day,296.59,0.0,0.0,70,Clear,scattered clouds,2012-10-10 06:00:00,2172
None,292.26,0.0,0.0,83,Clouds,light rain,2012-10-10 07:00:00,6268
None,254.09,0.0,0.0,60,Fog,sky is clear,2012-10-10 08:00:00,5782
None,291.92,0.0,0.0,44,Clouds,overcast clouds,2012-10-10 09:00:00,5209
None,252.52,0.0,0.0,19,Clear,light snow,2012-10-10 10:00:00,3479
None,255.81,0.0,0.0,2,Thunderstorm,scattered clouds,2012-10-10 11:00:00,3434
None,274.23,0.0,0.0,96,Haze,light snow,2012-10-10 12:00:00,2648
None,276.19,0.0,0.0,56,Rain,light rain,2012-10-10 13:00:00,2317
None,294.89,0.0,0.0,35,Snow,sky is clear,2012-10-10 14:00:00,3700
None,287.37,0.0,0.0,44,Clear,mist,2012-10-10 15:00:00,3248
None,258.43,0.0,0.0,81,Clear,light rain,2012-10-10 16:00:00,6257
None,262.44,0.0,0.0,80,Clouds,light rain,2012-10-10 17:00:00,5683
None,265.71,0.0,0.0,95,Mist,overcast clouds,2012-10-10 18:00:00,5663
None,256.8,0.0,0.0,13,Clouds,sky is clear,2012-10-10 19:00:00,2597
None,265.82,0.0,0.0,25,Snow,light snow,2012-10-10 20:00:00,2695
None,290.07,0.0,0.0,38,Rain,few clouds,2012-10-10 21:00:00,2456
None,263.28,0.0,0.0,20,Thunderstorm,sky is clear,2012-10-10 22:00:00,2336
None,295.94,0.5864,0.0,74,Rain,few clouds,2012-10-10 23:00:00,2720
None,275.82,0.0,0.0,70,Snow,few clouds,2012-10-11 00:00:00,521
None,267.76,0.0,0.0,9,Fog,light rain,2012-10-11 01:00:00,643
None,272.68,0.0,0.0,58,Clouds,sky is clear,2012-10-11 02:00:00,347
None,289.02,0.2417,0.0,61,Rain,scattered clouds,2012-10-11 03:00:00,589
New Years Day,278.42,0.0,0.0,49,Snow,light rain,2012-10-11 04:00:00,465
None,250.4,0.0,0.0,15,Clouds,heavy intensity rain,2012-10-11 05:00:00,466
None,300.73,0.0,0.0,81,Snow,few clouds,2012-10-11 06:00:00,2336
None,253.63,0.0,0.0,34,Fog,broken clouds,2012-10-11 07:00:00,6136
None,301.62,0.0,0.0,68,Clouds,scattered clouds,2012-10-11 08:00:00,5198
None,251.55,0.6896,0.0,40,Drizzle,mist,2012-10-11 09:00:00,6660
None,292.4,0.0,0.0,24,Snow,broken clouds,2012-10-11 10:00:00,2001
None,279.41,0.0,0.0,91,Clouds,sky is clear,2012-10-11 11:00:00,2641
None,277.81,0.0,0.0,2,Mist,few clouds,2012-10-11 12:00:00,2219
None,254.0,0.0,0.0,45,Drizzle,scattered clouds,2012-10-11 13:00:00,3589
None,263.13,0.0,0.0,63,Snow,light snow,2012-10-11 14:00:00,2854
None,292.77,0.0,0.0,43,Snow,scattered clouds,2012-10-11 15:00:00,3759
None,299.02,0.0,0.0,98,Rain,sky is clear,2012-10-11 16:00:00,7432
None,279.1,0.0,0.0,20,Mist,scattered clouds,2012-10-11 17:00:00,6661
None,269.43,0.0,0.0,16,Clouds,scattered clouds,2012-10-11 18:00:00,6153
None,253.3,0.0,0.0,83,Clouds,sky is clear,2012-10-11 19:00:00,2276
None,287.52,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 20:00:00,1929
None,265.31,0.0,0.0,30,Haze,light snow,2012-10-11 21:00:00,2639
None,253.03,0.0,0.0,69,Haze,light rain,2012-10-11 22:00:00,1446
None,286.62,0.0,0.0,46,Clear,sky is clear,2012-10-11 23:00:00,2035
None,276.71,0.0,0.0,89,Rain,broken clouds,2012-10-12 00:00:00,518
None,250.66,0.0,0.0,87,Thunderstorm,mist,2012-10-12 01:00:00,282
None,256.1,0.0,0.0,76,Haze,mist,2012-10-12 02:00:00,263
None,288.46,0.0,0.0,24,Rain,scattered clouds,2012-10-12 03:00:00,202
None,253.5,0.0,0.0,28,Clear,scattered clouds,2012-10-12 04:00:00,480
None,297.63,0.0,0.0,12,Mist,scattered clouds,2012-10-12 05:00:00,373
None,267.12,0.0,0.0,20,Clouds,overcast clouds,2012-10-12 06:00:00,1479
None,254.88,0.0,0.0,75,Rain,broken clouds,2012-10-12 07:00:00,4697
None,291.79,0.0,0.0,38,Clouds,broken clouds,2012-10-12 08:00:00,6430
None,278.84,0.0,0.0,19,Thunderstorm,light snow,2012-10-12 09:00:00,6691
None,266.87,0.0,0.0,76,Clear,mist,2012-10-12 10:00:00,2608
None,272.34,0.0,0.0,33,Fog,few clouds,2012-10-12 11:00:00,3224
None,251.18,0.0,0.0,80,Fog,light snow,2012-10-12 12:00:00,3147
None,286.45,0.0624,0.0,70,Snow,light snow,2012-10-12 13:00:00,2186
Martin Luther King Jr Day,270.12,0.0,0.0,47,Haze,light snow,2012-10-12 14:00:00,3349
None,289.27,0.0,0.0,44,Clear,overcast clouds,2012-10-12 15:00:00,2463
None,284.55,0.0,0.0,46,Fog,overcast clouds,2012-10-12 16:00:00,6794
None,285.82,0.0,0.0,97,Clouds,heavy intensity rain,2012-10-12 17:00:00,5659
None,293.61,0.0,0.0,57,Rain,overcast clouds,2012-10-12 18:00:00,6955
None,284.71,0.0,0.0,66,Rain,sky is clear,2012-10-12 19:00:00,1602
None,273.03,0.897,0.0,12,Mist,few clouds,2012-10-12 20:00:00,2569
None,271.45,0.0,0.0,54,Drizzle,mist,2012-10-12 21:00:00,2734
None,256.58,0.0932,0.0,19,Snow,heavy intensity rain,2012-10-12 22:00:00,1346
None,292.87,0.4292,0.0,15,Mist,light rain,2012-10-12 23:00:00,2371
None,291.86,0.0,0.0,59,Snow,light snow,2012-10-13 00:00:00,401
Labor Day,263.55,0.0,0.0,87,Rain,broken clouds,2012-10-13 01:00:00,248
None,297.45,0.0,0.0,28,Clear,light snow,2012-10-13 02:00:00,357
None,282.4,0.0,0.0,5,Snow,overcast clouds,2012-10-13 03:00:00,466
None,276.33,0.0,0.0,4,Clouds,mist,2012-10-13 04:00:00,473
None,250.96,0.0,0.0,6,Fog,mist,2012-10-13 05:00:00,177
None,271.05,0.0,0.0,68,Clouds,overcast clouds,2012-10-13 06:00:00,1350
None,285.24,0.0,0.0,65,Drizzle,broken clouds,2012-10-13 07:00:00,1137
None,254.94,0.0,0.0,29,Clear,few clouds,2012-10-13 08:00:00,1671
None,275.28,0.0,0.0,28,Haze,few clouds,2012-10-13 09:00:00,1440
None,304.64,0.0,0.0,69,Clouds,overcast clouds,2012-10-13 10:00:00,1272
None,289.41,0.0,0.1977,37,Snow,few clouds,2012-10-13 11:00:00,4469
None,280.08,0.0,0.0,94,Clouds,light snow,2012-10-13 12:00:00,4698
None,279.32,0.0,0.0,74,Clouds,sky is clear,2012-10-13 13:00:00,3938
None,252.41,0.0,0.0,2,Drizzle,few clouds,2012-10-13 14:00:00,4134
None,302.65,0.0,0.0,90,Drizzle,heavy intensity rain,2012-10-13 15:00:00,2762
None,301.05,0.0,0.0,39,Clear,few clouds,2012-10-13 16:00:00,4287
None,287.53,0.0,0.0,71,Clear,few clouds,2012-10-13 17:00:00,943
None,255.45,0.0,0.0,84,Clear,light rain,2012-10-13 18:00:00,1145
None,261.43,0.0,0.0,80,Fog,heavy intensity rain,2012-10-13 19:00:00,1423
None,260.12,0.712,0.0,77,Rain,broken clouds,2012-10-13 20:00:00,1816
None,278.58,0.0,0.0,85,Clear,overcast clouds,2012-10-13 21:00:00,2395
Memorial Day,261.43,0.0,0.0,59,Rain,broken clouds,2012-10-13 22:00:00,1680
None,288.27,0.2338,0.0,10,Clouds,heavy intensity rain,2012-10-13 23:00:00,801
None,279.99,0.1347,0.0,25,Mist,overcast clouds,2012-10-14 00:00:00,434
Veterans Day,250.97,0.0,0.0,53,Drizzle,mist,2012-10-14 01:00:00,353
None,290.92,0.0,0.0,78,Rain,overcast clouds,2012-10-14 02:00:00,303
None,260.39,0.0,0.0,38,Drizzle,broken clouds,2012-10-14 03:00:00,189
None,295.37,0.0,0.0,45,Clear,heavy intensity rain,2012-10-14 04:00:00,86
None,269.53,0.0,0.0,83,Clouds,broken clouds,2012-10-14 05:00:00,209
None,268.62,0.0,0.0,44,Clouds,few clouds,2012-10-14 06:00:00,1814
None,250.65,0.0,0.0,88,Drizzle,broken clouds,2012-10-14 07:00:00,808
None,304.33,0.0,0.0,32,Clouds,few clouds,2012-10-14 08:00:00,2056
None,283.66,0.0,0.0,15,Snow,light snow,2012-10-14 09:00:00,1922
None,273.25,0.6822,0.0,92,Clouds,heavy intensity rain,2012-10-14 10:00:00,2482
Thanksgiving Day,255.31,0.0,0.0,80,Clear,mist,2012-10-14 11:00:00,4755
None,288.45,0.0,0.0,65,Clear,heavy intensity rain,2012-10-14 12:00:00,3654
None,265.55,0.0,0.0,60,Clouds,mist,2012-10-14 13:00:00,2903
None,304.36,0.0,0.0,29,Mist,few clouds,2012-10-14 14:00:00,4699
None,302.28,0.0,0.0,92,Drizzle,overcast clouds,2012-10-14 15:00:00,4601
None,290.44,0.0,0.0,39,Haze,sky is clear,2012-10-14 16:00:00,4196
None,303.41,0.0,0.0,69,Rain,overcast clouds,2012-10-14 17:00:00,1427
None,255.81,0.0,0.0,65,Mist,light snow,2012-10-14 18:00:00,1386
None,265.4,0.0,0.0,79,Clouds,mist,2012-10-14 19:00:00,2448
None,263.93,0.0,0.0,8,Drizzle,overcast clouds,2012-10-14 20:00:00,2243
None,253.96,0.0,0.0,40,Snow,overcast clouds,2012-10-14 21:00:00,2245
None,303.47,0.0,0.0,35,Clouds,sky is clear,2012-10-14 22:00:00,903
None,253.3,0.0,0.0,63,Snow,overcast clouds,2012-10-14 23:00:00,1053
None,297.12,0.0,0.1129,10,Rain,light rain,2012-10-15 00:00:00,306
None,292.25,0.0,0.0,4,Clouds,scattered clouds,2012-10-15 01:00:00,191
None,270.67,0.0,0.0,1,Drizzle,heavy intensity rain,2012-10-15 02:00:00,589
None,251.03,0.0,0.0,43,Clouds,light snow,2012-10-15 03:00:00,552
None,250.34,0.0,0.0,87,Drizzle,light rain,2012-10-15 04:00:00,178
None,261.22,0.0,0.0,59,Clear,few clouds,2012-10-15 05:00:00,232
None,277.16,0.0,0.0,91,Drizzle,light rain,2012-10-15 06:00:00,2113
None,275.19,0.0,0.0,37,Clouds,sky is clear,2012-10-15 07:00:00,6419
None,282.19,0.023,0.0,28,Clear,mist,2012-10-15 08:00:00,5377
None,292.46,0.0,0.0,71,Rain,overcast clouds,2012-10-15 09:00:00,4837
Thanksgiving Day,270.75,0.0,0.0,46,Snow,light snow,2012-10-15 10:00:00,3729
None,258.82,0.0,0.2167,62,Clouds,broken clouds,2012-10-15 11:00:00,2821
None,294.0,0.0,0.0,67,Drizzle,sky is clear,2012-10-15 12:00:00,3186
None,268.3,0.0,0.0,67,Clear,scattered clouds,2012-10-15 13:00:00,3743
None,265.78,0.0,0.0,78,Clouds,light snow,2012-10-15 14:00:00,2956
None,292.04,0.0,0.0,91,Snow,light rain,2012-10-15 15:00:00,3704
None,301.38,0.0,0.0,20,Clear,light snow,2012-10-15 16:00:00,5160
None,300.32,0.0,0.0,74,Drizzle,broken clouds,2012-10-15 17:00:00,6603
None,257.56,0.0,0.0432,96,Rain,sky is clear,2012-10-15 18:00:00,5397
None,277.67,0.0,0.0,29,Drizzle,few clouds,2012-10-15 19:00:00,2500
None,255.11,0.0,0.0,58,Clear,sky is clear,2012-10-15 20:00:00,2015
Presidents Day,302.85,0.0,0.0,1,Snow,heavy intensity rain,2012-10-15 21:00:00,2727
None,261.84,0.0,0.0,83,Clear,few clouds,2012-10-15 22:00:00,2615
None,260.86,0.0,0.0,3,Clear,overcast clouds,2012-10-15 23:00:00,2358
None,298.89,0.0,0.0,65,Clouds,heavy intensity rain,2012-10-16 00:00:00,274
