Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH
11/03/2004;12.00.00;1,9;1155;168;6,3;1062;46;1817;22;1603;706;22,7;41,8;0,1
11/03/2004;13.00.00;4,2;1245;305;14,2;1333;318;1583;120;1889;921;20,8;47,3;0,1
11/03/2004;14.00.00;1,0;1073;310;5,9;1268;159;1940;47;1616;844;26,6;56,0;0,1
11/03/2004;15.00.00;1,9;1009;305;8,7;1138;223;1964;86;1753;993;21,6;42,0;0,1
11/03/2004;16.00.00;5,6;1444;91;20,2;768;424;1651;198;2161;1109;20,6;33,9;0,1
11/03/2004;17.00.00;8,0;1639;194;31,2;1091;703;1425;200;2011;1211;16,2;48,8;0,1
11/03/2004;18.00.00;6,7;1619;263;21,6;1142;604;1491;200;2073;1153;15,4;46,3;0,1
11/03/2004;19.00.00;6,1;1453;375;24,0;1461;535;1562;174;1988;1132;9,8;67,4;0,1
11/03/2004;20.00.00;0,6;1137;131;3,9;1019;100;1850;31;1627;897;10,2;37,7;0,1
11/03/2004;21.00.00;2,3;1154;189;9,1;1067;170;1800;75;1737;927;7,7;45,7;0,1
11/03/2004;22.00.00;0,6;1073;138;0,1;1013;87;1781;27;1574;753;5,6;56,2;0,1
11/03/2004;23.00.00;3,7;1411;239;13,9;1157;209;1698;74;1734;890;4,9;59,6;0,1
12/03/2004;00.00.00;2,8;1252;133;10,2;1106;254;1899;155;1862;1158;-1,1;63,4;0,1
12/03/2004;01.00.00;0,6;1093;210;0,1;1015;49;2024;2;1508;696;7,7;61,5;0,1
12/03/2004;02.00.00;4,9;1379;306;19,4;1179;472;1733;186;2158;1225;5,1;60,7;0,1
12/03/2004;03.00.00;2,0;1154;250;3,7;1197;148;1832;74;1555;851;13,6;59,2;0,1
12/03/2004;04.00.00;7,7;1569;187;26,7;977;565;1493;200;2149;984;13,6;43,9;0,1
12/03/2004;05.00.00;1,7;1140;150;6,4;1000;118;1729;46;1584;1003;16,7;64,9;0,1
12/03/2004;06.00.00;6,6;1465;129;22,3;1038;532;1619;200;2159;1173;6,5;59,0;0,1
12/03/2004;07.00.00;6,4;1477;135;24,0;1033;461;1558;168;2093;964;14,8;46,2;0,1
12/03/2004;08.00.00;1,0;1075;274;0,1;1241;25;2038;22;1383;877;25,4;41,9;0,1
12/03/2004;09.00.00;2,6;1314;286;11,5;1133;127;1844;59;1599;946;21,2;54,3;0,1
12/03/2004;10.00.00;4,2;1381;287;14,1;1264;366;1397;158;2107;882;21,6;53,0;0,1
12/03/2004;11.00.00;4,6;1492;273;16,1;1249;342;1505;154;1877;943;25,6;65,7;0,1
12/03/2004;12.00.00;3,2;1275;357;10,6;1344;326;1878;167;2057;964;20,4;36,8;0,1
12/03/2004;13.00.00;2,5;1208;63;7,7;1031;221;1861;96;1793;858;23,8;39,1;0,1
12/03/2004;14.00.00;3,6;1336;227;10,9;1193;282;1795;91;1772;995;29,1;44,7;0,1
12/03/2004;15.00.00;4,6;1390;137;12,2;1132;277;1826;123;1811;1130;21,7;47,9;0,1
12/03/2004;16.00.00;3,0;1290;168;10,3;1211;304;1624;134;2000;978;22,7;38,2;0,1
12/03/2004;17.00.00;1,9;1128;360;10,7;1398;195;1991;68;1641;955;16,3;59,6;0,1
12/03/2004;18.00.00;4,2;1366;354;12,0;1409;290;1592;95;1852;986;16,1;51,5;0,1
12/03/2004;19.00.00;2,7;1244;280;8,0;1274;226;1768;71;1780;873;14,3;50,4;0,1
12/03/2004;20.00.00;1,0;1113;178;0,7;1141;56;1890;48;1501;838;10,8;64,7;0,1
12/03/2004;21.00.00;1,4;1049;388;5,2;1305;67;1923;24;1524;815;6,3;54,7;0,1
12/03/2004;22.00.00;3,3;1220;166;13,4;1045;222;1801;80;1943;876;9,0;59,1;0,1
12/03/2004;23.00.00;4,3;1377;293;16,5;1255;290;1632;85;1659;926;9,5;47,5;0,1
13/03/2004;00.00.00;15,6;1303;241;129,2;1217;2447;1686;174;2274;1217;51,9;53,8;0,1
13/03/2004;01.00.00;1,5;1133;291;5,9;1280;195;1740;73;1817;970;8,8;51,0;0,1
13/03/2004;02.00.00;1,3;1134;58;6,8;795;62;1891;35;1709;832;9,5;50,8;0,1
13/03/2004;03.00.00;1,9;1094;370;6,7;1356;141;1778;30;1855;870;4,5;51,6;0,1
13/03/2004;04.00.00;6,4;1446;70;27,4;1018;506;1543;200;2072;1079;5,6;68,0;0,1
13/03/2004;05.00.00;2,0;1148;378;4,6;1292;161;2001;63;1691;847;16,3;53,4;0,1
13/03/2004;06.00.00;4,0;1242;233;14,3;1249;280;1791;118;1805;1078;9,2;65,3;0,1
13/03/2004;07.00.00;3,7;1272;82;11,3;996;280;1830;98;1622;946;16,2;52,8;0,1
13/03/2004;08.00.00;0,7;1066;163;6,5;1159;5;2053;2;1688;917;21,5;43,7;0,1
13/03/2004;09.00.00;1,9;1201;248;5,4;1150;205;1744;60;1713;790;20,4;54,7;0,1
13/03/2004;10.00.00;7,1;1613;186;25,3;1078;607;1578;200;2049;1057;18,9;42,2;0,1
13/03/2004;11.00.00;1,4;1088;185;5,3;1229;128;2064;50;1769;692;31,8;45,4;0,1
13/03/2004;12.00.00;5,0;1523;255;21,4;1173;333;1641;133;1984;796;23,2;53,8;0,1
13/03/2004;13.00.00;5,8;1420;178;23,3;1053;371;1749;128;1886;987;26,3;49,7;0,1
13/03/2004;14.00.00;3,4;1283;141;9,0;979;214;1880;111;1858;887;25,1;40,8;0,1
13/03/2004;15.00.00;0,8;1059;232;5,5;1218;19;1973;23;1452;782;20,6;62,7;0,1
13/03/2004;16.00.00;5,0;1457;149;19,8;1067;445;1741;187;2129;1171;14,1;44,7;0,1
13/03/2004;17.00.00;1,3;1064;52;3,7;975;73;2048;67;1786;806;21,9;37,0;0,1
13/03/2004;18.00.00;4,3;1348;294;16,7;1189;366;1774;137;1883;954;22,2;58,7;0,1
13/03/2004;19.00.00;2,3;1210;227;7,8;1199;146;2084;81;1696;853;13,3;56,8;0,1
13/03/2004;20.00.00;4,5;1413;60;13,8;986;369;1786;94;1902;967;13,3;48,5;0,1
13/03/2004;21.00.00;3,5;1327;291;12,7;1239;346;1633;129;1755;928;10,7;53,3;0,1
13/03/2004;22.00.00;5,9;1461;213;19,3;1209;520;1543;187;1935;1109;4,2;79,7;0,1
13/03/2004;23.00.00;5,2;1402;272;17,3;1188;423;1569;170;2054;950;-0,8;60,4;0,1
14/03/2004;00.00.00;6,1;1438;290;24,2;1303;491;1627;200;2097;1026;4,4;51,4;0,1
14/03/2004;01.00.00;1,3;1123;268;4,0;1234;30;1872;24;1533;882;7,9;61,4;0,1
14/03/2004;02.00.00;21,4;1584;55;75,2;831;2789;1792;200;1934;1118;53,4;79,0;0,1
14/03/2004;03.00.00;1,7;1156;102;6,5;929;133;1923;35;1660;893;9,6;41,9;0,115
14/03/2004;04.00.00;7,6;1677;375;29,3;1341;663;1446;200;2085;1297;11,9;48,9;0,1
14/03/2004;05.00.00;7,1;1669;212;25,7;1098;576;1498;200;2120;1129;9,8;60,6;0,1
14/03/2004;06.00.00;20,0;1311;228;115,2;1011;2171;1785;132;2185;1019;51,0;53,3;0,1
14/03/2004;07.00.00;6,9;1518;157;22,6;1054;546;1768;193;2173;1037;17,8;46,3;0,1
14/03/2004;08.00.00;3,0;1211;375;8,1;1359;253;1869;86;1629;985;19,9;49,1;0,1
14/03/2004;09.00.00;7,3;1649;334;25,4;1310;636;1482;200;2132;1054;20,0;33,0;0,1
14/03/2004;10.00.00;3,0;1277;297;9,7;1327;220;1938;111;1726;884;28,2;54,9;0,1
14/03/2004;11.00.00;6,7;1564;388;20,1;1367;616;1601;200;1987;1289;26,2;45,6;0,1
14/03/2004;12.00.00;5,1;1416;303;18,8;1270;458;1627;182;1984;1148;25,5;45,6;0,1
14/03/2004;13.00.00;1,4;1163;283;7,0;1082;90;1993;24;1551;874;24,6;55,3;0,1
14/03/2004;14.00.00;16,5;1292;191;87,6;1120;2310;1821;37;1431;883;56,8;59,9;0,1
14/03/2004;15.00.00;1,8;1186;87;7,5;893;127;2000;64;1571;835;26,6;51,6;0,1
14/03/2004;16.00.00;2,3;1137;172;8,4;1134;89;1947;57;1625;800;17,9;57,0;0,1
14/03/2004;17.00.00;2,1;1191;142;7,3;935;107;1904;70;1756;813;23,7;39,6;0,1
14/03/2004;18.00.00;6,5;1494;226;24,5;1037;513;1555;200;1986;860;14,8;51,9;0,1
14/03/2004;19.00.00;5,2;1385;249;18,7;1209;416;1693;155;1966;1181;11,9;62,3;0,1
14/03/2004;20.00.00;7,7;1699;229;32,4;1109;594;1457;200;2116;1103;11,4;50,5;0,1
14/03/2004;21.00.00;3,7;1278;333;13,5;1240;267;1828;93;1868;988;7,4;55,4;0,1
14/03/2004;22.00.00;4,6;1419;211;16,7;1262;402;1740;164;2032;1074;5,3;58,6;0,1
14/03/2004;23.00.00;2,4;1165;212;9,4;1100;155;1845;32;1592;926;7,5;56,5;0,1
15/03/2004;00.00.00;2,6;1221;322;8,9;1104;224;1689;95;1983;933;6,1;70,0;0,1
15/03/2004;01.00.00;4,2;1315;183;13,8;1125;349;1814;135;2036;1043;8,0;57,0;0,1
15/03/2004;02.00.00;1,6;1112;183;6,9;999;147;1822;88;1754;896;8,8;50,5;0,1
15/03/2004;03.00.00;6,1;1472;362;23,3;1332;487;1673;176;2219;1049;6,4;61,9;0,1
15/03/2004;04.00.00;5,1;1376;373;16,6;1430;315;1684;125;1897;1061;14,9;50,1;0,1
15/03/2004;05.00.00;2,2;1149;59;6,9;872;252;1807;105;1852;949;7,4;50,9;0,1
15/03/2004;06.00.00;3,4;1313;193;11,1;1128;299;1861;119;1910;1058;16,3;58,8;0,1
15/03/2004;07.00.00;3,2;1250;253;11,0;1129;270;1779;110;1779;964;18,7;46,5;0,1
15/03/2004;08.00.00;5,2;1462;68;19,0;891;411;1748;147;2012;1141;24,6;54,1;0,1
15/03/2004;09.00.00;5,5;1516;376;19,6;1300;504;1463;200;1996;1063;22,4;37,2;0,1
15/03/2004;10.00.00;3,2;1249;382;8,5;1402;260;1822;86;1863;974;23,1;60,4;0,1
15/03/2004;11.00.00;3,3;1306;214;12,3;1171;249;1786;105;1997;910;28,8;33,2;0,1
15/03/2004;12.00.00;3,3;1274;194;14,1;1089;328;1753;157;1970;1013;24,1;37,2;0,1
15/03/2004;13.00.00;2,3;1155;140;6,3;944;178;1919;96;1809;883;23,5;35,0;0,1
15/03/2004;14.00.00;5,4;1432;261;23,3;1136;514;1680;200;2046;1173;21,6;49,0;0,1
15/03/2004;15.00.00;8,0;1605;330;27,9;1226;669;1616;200;2158;1291;20,2;54,3;0,1
15/03/2004;16.00.00;3,2;1172;67;10,0;850;268;1692;87;1704;1023;23,7;29,2;0,1
15/03/2004;17.00.00;4,7;1387;175;16,7;1121;332;1896;142;1856;1077;16,9;53,3;0,1
15/03/2004;18.00.00;1,8;1214;118;4,9;906;177;1696;80;1723;930;11,0;51,2;0,1
15/03/2004;19.00.00;18,6;1305;157;121,8;1080;2120;1719;159;1859;994;49,2;50,6;0,1
15/03/2004;20.00.00;15,6;1232;257;104,8;1210;1933;1765;92;1693;1015;56,8;61,9;0,1
15/03/2004;21.00.00;6,1;1536;79;19,7;921;581;1537;200;2112;1201;9,8;58,8;0,1
15/03/2004;22.00.00;2,2;1148;94;8,0;886;174;2016;91;1700;1129;11,1;50,6;0,12
15/03/2004;23.00.00;7,6;1584;246;29,0;1078;573;1610;200;2190;1119;2,3;66,4;0,1
16/03/2004;00.00.00;5,3;1443;133;21,2;1044;501;1511;194;2137;1024;7,9;57,4;0,1
16/03/2004;01.00.00;2,9;1170;340;7,5;1283;210;1694;106;1770;871;-0,1;50,9;0,1
16/03/2004;02.00.00;7,9;1649;322;32,3;1250;624;1561;200;2076;1188;8,9;36,5;0,1
16/03/2004;03.00.00;5,9;1391;57;18,4;1012;479;1499;170;1997;1138;9,9;57,9;0,1
16/03/2004;04.00.00;0,8;1106;279;4,2;1270;58;1837;45;1587;861;7,3;56,0;0,111
16/03/2004;05.00.00;6,4;1518;346;24,1;1182;477;1707;184;1960;1136;8,2;46,5;0,1
16/03/2004;06.00.00;6,2;1536;152;21,8;1045;496;1570;200;2073;1225;11,2;52,1;0,1
16/03/2004;07.00.00;1,7;1166;372;7,9;1322;154;1867;77;1825;849;17,4;49,3;0,1
16/03/2004;08.00.00;7,7;1615;229;27,0;1144;676;1458;200;2081;1264;19,0;59,2;0,1
16/03/2004;09.00.00;7,7;1740;281;24,4;1141;625;1584;200;2274;1222;20,0;46,7;0,1
16/03/2004;10.00.00;3,2;1273;191;10,2;1089;270;1839;124;1957;895;25,5;45,3;0,1
16/03/2004;11.00.00;4,1;1314;173;14,6;991;329;1642;139;1898;920;31,5;33,8;0,1
16/03/2004;12.00.00;5,9;1444;206;21,2;1103;438;1553;179;2216;1072;21,9;50,6;0,1
16/03/2004;13.00.00;1,3;1129;92;3,7;915;111;1807;31;1561;895;21,4;53,6;0,1
16/03/2004;14.00.00;21,0;1203;203;72,6;1136;2432;1823;94;1833;918;48,7;53,4;0,1
16/03/2004;15.00.00;7,5;1607;218;26,3;1230;566;1526;200;2118;1102;19,7;48,2;0,1
16/03/2004;16.00.00;4,0;1376;368;13,4;1340;404;1659;159;1898;1113;24,8;61,1;0,1
16/03/2004;17.00.00;1,1;1005;95;6,1;894;95;1741;2;1456;916;14,2;54,4;0,1
16/03/2004;18.00.00;3,4;1315;135;13,0;941;293;1823;91;1896;1013;16,0;49,3;0,1
16/03/2004;19.00.00;2,2;1093;371;11,2;1374;161;1762;65;1522;906;13,0;52,7;0,1
16/03/2004;20.00.00;1,4;1022;109;4,1;1074;70;1895;61;1832;833;13,1;60,9;0,1
16/03/2004;21.00.00;7,2;1671;181;24,0;1241;603;1339;200;2121;1210;6,3;34,2;0,1
16/03/2004;22.00.00;4,1;1298;246;14,8;1217;318;2038;137;1991;973;11,5;61,3;0,1
16/03/2004;23.00.00;4,1;1329;254;12,2;1166;234;1701;106;1743;896;8,2;51,4;0,1
17/03/2004;00.00.00;4,4;1384;184;15,7;1025;270;1737;117;1883;1011;4,5;66,8;0,1
17/03/2004;01.00.00;1,5;1068;233;2,9;1265;164;2156;64;1714;862;7,4;49,7;0,1
17/03/2004;02.00.00;21,9;1517;349;94,1;1350;2397;1668;181;1932;1170;50,6;61,1;0,1
17/03/2004;03.00.00;2,5;1192;136;11,6;1198;163;1989;63;1749;922;13,8;57,9;0,1
17/03/2004;04.00.00;4,9;1389;262;17,5;1219;410;1724;165;1966;1068;7,5;65,1;0,1
17/03/2004;05.00.00;6,3;1443;65;23,5;887;468;1771;157;1749;1125;8,6;57,6;0,1
17/03/2004;06.00.00;5,7;1471;356;18,3;1193;420;1618;200;2061;1139;13,0;48,3;0,1
17/03/2004;07.00.00;4,9;1398;378;16,5;1265;318;1871;134;1864;1135;21,0;65,1;0,1
17/03/2004;08.00.00;5,3;1350;396;19,8;1459;471;1397;187;1994;966;20,7;49,7;0,1
17/03/2004;09.00.00;2,7;1188;259;7,7;1304;94;1653;51;1744;759;20,8;58,5;0,1
17/03/2004;10.00.00;12,2;1304;230;73,1;1328;2502;1720;120;2124;1031;49,4;35,1;0,114
17/03/2004;11.00.00;5,2;1456;261;18,2;1192;336;1869;107;1660;1036;30,0;36,2;0,1
17/03/2004;12.00.00;2,4;1200;184;5,7;1104;136;1885;28;1414;782;26,6;59,1;0,1
17/03/2004;13.00.00;6,8;1492;236;22,4;999;552;1667;200;2072;1040;27,6;54,3;0,1
17/03/2004;14.00.00;5,8;1539;233;20,6;1236;518;1533;161;2151;991;25,0;44,2;0,1
17/03/2004;15.00.00;2,1;1186;56;6,5;846;120;1930;50;1680;842;23,0;57,5;0,1
17/03/2004;16.00.00;6,3;1517;197;21,4;1104;525;1482;200;2185;1211;18,2;55,4;0,1
17/03/2004;17.00.00;5,6;1423;282;18,2;1266;448;1878;192;1963;998;19,4;34,6;0,1
17/03/2004;18.00.00;2,9;1290;357;9,1;1333;284;1611;110;1735;1059;14,8;55,9;0,1
17/03/2004;19.00.00;2,8;1230;65;12,5;997;173;1833;62;1576;972;13,8;50,9;0,1
17/03/2004;20.00.00;5,8;1463;176;17,5;1046;553;1465;200;2338;1083;11,5;65,7;0,1
17/03/2004;21.00.00;7,8;1676;316;27,7;1264;608;1675;200;2173;1228;2,5;65,6;0,1
17/03/2004;22.00.00;2,6;1296;319;9,7;1278;190;1858;37;1642;880;3,0;57,6;0,1
17/03/2004;23.00.00;1,0;1181;146;4,4;1023;58;1865;2;1417;717;2,3;63,2;0,1
18/03/2004;00.00.00;4,5;1386;326;13,4;1162;369;1452;159;2164;1072;8,7;54,1;0,1
18/03/2004;01.00.00;1,3;1076;376;2,0;1304;153;1846;80;1648;965;-2,1;57,4;0,1
18/03/2004;02.00.00;5,8;1444;101;18,3;975;372;1675;138;1901;989;4,4;45,3;0,1
18/03/2004;03.00.00;0,5;1074;53;1,3;827;20;2021;15;1551;920;5,7;67,8;0,1
18/03/2004;04.00.00;3,3;1295;104;13,6;894;280;1683;117;1899;1063;12,6;43,1;0,1
18/03/2004;05.00.00;4,8;1398;286;16,3;1290;439;1591;170;2053;1027;14,5;57,5;0,1
18/03/2004;06.00.00;4,5;1432;299;13,9;1302;337;1747;141;1816;1095;12,8;54,8;0,1
18/03/2004;07.00.00;5,3;1397;79;16,9;932;408;1804;131;1951;1007;20,7;45,9;0,1
18/03/2004;08.00.00;6,9;1585;317;24,3;1250;676;1417;200;2121;1258;19,5;29,7;0,1
18/03/2004;09.00.00;3,8;1325;343;10,8;1432;162;1700;29;1696;930;23,1;41,2;0,1
18/03/2004;10.00.00;6,2;1498;134;22,2;928;435;1761;168;2103;1120;28,7;51,2;0,1
18/03/2004;11.00.00;4,1;1229;151;12,7;888;342;1939;153;1993;958;19,4;47,6;0,1
18/03/2004;12.00.00;2,2;1048;326;9,2;1327;221;1670;96;1837;855;25,0;47,7;0,1
18/03/2004;13.00.00;1,4;1169;61;3,7;913;89;1985;35;1711;819;23,5;47,0;0,1
18/03/2004;14.00.00;5,5;1385;176;24,2;1010;421;1577;181;1988;953;20,5;54,8;0,1
18/03/2004;15.00.00;3,5;1234;181;14,8;1059;245;1750;91;1811;875;18,3;57,8;0,1
18/03/2004;16.00.00;2,3;1183;358;5,9;1379;104;1827;30;1664;786;18,7;36,7;0,1
18/03/2004;17.00.00;2,9;1209;73;11,8;933;273;1849;114;1870;1006;18,9;61,8;0,1
18/03/2004;18.00.00;7,9;1613;342;27,4;1129;682;1438;200;2091;1169;12,1;42,1;0,1
18/03/2004;19.00.00;6,5;1606;66;23,3;941;550;1528;200;1977;1282;10,7;47,9;0,1
18/03/2004;20.00.00;0,8;1067;51;4,9;902;143;1892;90;1758;868;9,4;59,9;0,1
18/03/2004;21.00.00;4,6;1293;323;13,9;1155;375;1700;172;1897;1089;4,9;60,1;0,1
18/03/2004;22.00.00;6,1;1436;329;19,6;1256;472;1620;179;1979;1063;4,5;60,8;0,1
18/03/2004;23.00.00;5,6;1408;341;18,3;1147;470;1832;200;2264;1125;8,7;54,1;0,1
19/03/2004;00.00.00;4,2;1335;187;14,2;1054;364;1823;134;1981;932;10,5;43,8;0,1
19/03/2004;01.00.00;2,3;1125;298;9,7;1275;156;2002;107;1903;912;7,3;56,0;0,1
19/03/2004;02.00.00;1,1;1252;238;4,3;1110;28;2054;35;1619;839;6,2;58,9;0,1
19/03/2004;03.00.00;6,9;1504;133;24,5;915;568;1509;200;2016;1228;11,8;60,6;0,1
19/03/2004;04.00.00;1,4;1111;325;5,3;1303;97;1784;39;1650;797;12,2;55,5;0,1
19/03/2004;05.00.00;7,5;1621;259;27,7;1237;613;1533;200;1946;1083;10,7;45,8;0,1
19/03/2004;06.00.00;7,3;1537;259;24,5;1259;560;1560;200;2089;1139;15,0;48,5;0,1
19/03/2004;07.00.00;7,6;1644;73;29,1;975;569;1636;200;2069;1158;13,7;30,5;0,1
19/03/2004;08.00.00;6,0;1505;109;17,5;1020;443;1589;141;1970;1134;22,7;53,8;0,107
19/03/2004;09.00.00;6,3;1480;318;22,9;1213;517;1547;180;2196;1015;28,5;45,2;0,1
19/03/2004;10.00.00;1,0;1041;344;3,4;1364;144;2024;56;1605;861;20,4;44,0;0,1
19/03/2004;11.00.00;4,6;1427;386;14,2;1278;366;1831;134;1778;1048;25,4;49,5;0,1
19/03/2004;12.00.00;5,5;1427;261;20,2;1066;479;1503;200;2257;1194;22,7;37,1;0,1
19/03/2004;13.00.00;1,6;1154;57;4,3;873;185;1931;47;1764;906;22,0;54,8;0,1
19/03/2004;14.00.00;3,7;1223;237;14,4;1154;408;1631;153;2165;1120;26,0;48,5;0,1
19/03/2004;15.00.00;6,6;1557;362;22,0;1388;538;1555;200;2037;1112;20,2;60,6;0,1
19/03/2004;16.00.00;5,7;1489;217;23,3;1035;532;1571;200;2181;1158;21,6;44,8;0,1
19/03/2004;17.00.00;16,1;1350;64;111,0;830;2002;1645;163;1991;1071;48,6;57,5;0,1
19/03/2004;18.00.00;6,4;1437;168;22,9;1119;542;1493;200;1887;1235;14,9;67,4;0,1
19/03/2004;19.00.00;2,2;1138;321;9,6;1143;146;1896;14;1396;827;8,8;57,8;0,1
19/03/2004;20.00.00;2,8;1231;355;8,3;1367;248;1888;91;1806;933;7,3;56,9;0,1
19/03/2004;21.00.00;4,1;1301;343;17,2;1213;429;1652;145;1838;1126;5,3;62,6;0,1
19/03/2004;22.00.00;7,9;1610;236;27,8;1167;556;1610;200;2073;1237;8,8;42,7;0,1
19/03/2004;23.00.00;2,0;1195;334;8,3;1282;209;1712;84;1722;856;2,8;66,0;0,116
20/03/2004;00.00.00;6,2;1570;135;21,8;1045;535;1481;200;1967;1067;7,6;61,5;0,1
20/03/2004;01.00.00;7,6;1602;190;24,6;808;635;1357;200;2078;1221;5,9;44,6;0,1
20/03/2004;02.00.00;3,9;1255;51;14,6;968;304;1738;114;1712;989;4,1;71,2;0,1
20/03/2004;03.00.00;1,3;1075;95;2,5;1024;130;1940;31;1509;919;7,8;54,2;0,135
20/03/2004;04.00.00;1,6;1021;369;6,8;1428;171;1805;64;1540;849;14,4;55,0;0,1
20/03/2004;05.00.00;6,3;1539;174;21,5;1112;565;1639;200;2181;1118;12,2;41,4;0,1
20/03/2004;06.00.00;2,9;1233;351;9,1;1262;244;1887;79;1654;940;13,4;51,3;0,1
20/03/2004;07.00.00;1,0;1133;322;3,3;1201;97;1997;2;1482;934;19,5;59,1;0,1
20/03/2004;08.00.00;4,5;1254;329;16,1;1242;357;1734;143;1879;1064;23,9;34,5;0,1
20/03/2004;09.00.00;1,5;1117;326;1,2;1359;91;1817;68;1668;797;21,0;33,2;0,1
20/03/2004;10.00.00;2,3;1159;298;7,8;1252;113;1862;72;1876;861;26,7;54,1;0,1
20/03/2004;11.00.00;3,0;1120;375;10,9;1352;239;1897;86;1763;962;25,4;52,0;0,1
20/03/2004;12.00.00;0,7;1033;159;2,9;1068;59;1783;20;1561;978;23,0;58,8;0,1
20/03/2004;13.00.00;4,5;1498;367;15,3;1350;204;1942;94;1844;1018;30,6;46,5;0,1
20/03/2004;14.00.00;4,1;1311;169;16,6;959;317;1638;156;1963;936;23,4;61,2;0,1
20/03/2004;15.00.00;5,5;1350;372;22,7;1245;336;1540;118;1836;970;17,1;51,9;0,1
20/03/2004;16.00.00;3,0;1264;202;13,3;1255;175;1837;83;1725;969;20,9;59,6;0,1
20/03/2004;17.00.00;7,9;1587;122;24,5;1052;642;1619;200;2047;1229;10,9;53,4;0,1
